StrategyID,Date,Symbol,SignalScore,PositionTarget,PnLUSD,GrossExposure,NetExposure
strategy_b,07/24/2026,GOOGL,0.9102,1982425.03,-7362.98,24583510.94,-5151234.88
strategy_b,07/24/2026,NVDA,-1.5245,-3086219.02,-7362.98,24583510.94,-5151234.88
strategy_b,07/24/2026,JPM,1.8694,-3939163.96,-7362.98,24583510.94,-5151234.88
strategy_b,07/24/2026,AAPL,0.1023,-3511229.55,-7362.98,24583510.94,-5151234.88
strategy_b,07/24/2026,AAPL,-1.4397,-5984410.53,-7362.98,24583510.94,-5151234.88
strategy_b,07/24/2026,AMZN,-0.4456,-1204541.75,-7362.98,24583510.94,-5151234.88
strategy_b,07/24/2026,TSLA,2.3776,-7577666.73,-7362.98,24583510.94,-5151234.88
strategy_b,07/24/2026,AMZN,-0.4502,6274140.22,-7362.98,24583510.94,-5151234.88
strategy_b,07/24/2026,AAPL,0.7118,22429.78,-7362.98,24583510.94,-5151234.88
strategy_b,07/24/2026,TSLA,-0.9706,4749667.64,-7362.98,24583510.94,-5151234.88
strategy_b,07/24/2026,AAPL,-0.4265,8100976.94,-7362.98,24583510.94,-5151234.88
strategy_b,07/24/2026,AMZN,-1.5574,6382213.08,-7362.98,24583510.94,-5151234.88
strategy_b,07/24/2026,JPM,-0.8846,5659136.1,-7362.98,24583510.94,-5151234.88
strategy_b,07/24/2026,TSLA,-1.0713,-5191757.93,-7362.98,24583510.94,-5151234.88
strategy_b,07/24/2026,MSFT,-1.7185,-3666652.29,-7362.98,24583510.94,-5151234.88
strategy_b,07/24/2026,GOOGL,-0.9645,-15893.43,-7362.98,24583510.94,-5151234.88
strategy_b,07/24/2026,GOOGL,-1.7877,-2508831.66,-7362.98,24583510.94,-5151234.88
strategy_b,07/24/2026,MSFT,-1.823,-1379801.71,-7362.98,24583510.94,-5151234.88
strategy_b,07/24/2026,AAPL,2.5037,-61628.73,-7362.98,24583510.94,-5151234.88
strategy_b,07/24/2026,AAPL,-0.3342,2990221.88,-7362.98,24583510.94,-5151234.88
strategy_b,07/24/2026,NVDA,-0.3026,1574980.3,-7362.98,24583510.94,-5151234.88
strategy_b,07/24/2026,AMZN,-1.0294,1342028.83,-7362.98,24583510.94,-5151234.88
strategy_b,07/24/2026,XOM,-0.9475,-1521539.95,-7362.98,24583510.94,-5151234.88
strategy_b,07/24/2026,XOM,-0.3815,1790123.11,-7362.98,24583510.94,-5151234.88
strategy_b,07/24/2026,AAPL,0.4659,-5033251.24,-7362.98,24583510.94,-5151234.88
strategy_b,07/24/2026,XOM,-0.0348,-5363267.74,-7362.98,24583510.94,-5151234.88
strategy_b,07/24/2026,GOOGL,-1.6689,-2601263.85,-7362.98,24583510.94,-5151234.88
strategy_b,07/24/2026,NVDA,0.5135,-5288529.98,-7362.98,24583510.94,-5151234.88
strategy_b,07/24/2026,XOM,1.1125,-4110238.75,-7362.98,24583510.94,-5151234.88
strategy_b,07/24/2026,GOOGL,-2.0131,-1780529.74,-7362.98,24583510.94,-5151234.88
strategy_b,07/24/2026,MSFT,0.0158,1394553.74,-7362.98,24583510.94,-5151234.88
strategy_b,07/24/2026,AMZN,-0.5278,-7025145.72,-7362.98,24583510.94,-5151234.88
strategy_b,07/24/2026,JPM,2.2101,6421928.57,-7362.98,24583510.94,-5151234.88
strategy_b,07/24/2026,XOM,0.142,-3973626.41,-7362.98,24583510.94,-5151234.88
strategy_b,07/24/2026,TSLA,1.1528,-4775275.54,-7362.98,24583510.94,-5151234.88
strategy_b,07/24/2026,GOOGL,0.3459,-113570.76,-7362.98,24583510.94,-5151234.88
strategy_b,07/24/2026,JPM,-0.1925,-2553365.55,-7362.98,24583510.94,-5151234.88
strategy_b,07/24/2026,XOM,-1.5706,1866182.15,-7362.98,24583510.94,-5151234.88
strategy_b,07/24/2026,TSLA,-0.4229,-915718.98,-7362.98,24583510.94,-5151234.88
strategy_b,07/24/2026,XOM,-0.2357,8899318.94,-7362.98,24583510.94,-5151234.88
