StrategyID,Date,Symbol,SignalScore,PositionTarget,PnLUSD,GrossExposure,NetExposure
strategy_b,07/25/2026,GOOGL,0.5662,2651521.58,-417053.51,20286238.57,3829100.11
strategy_b,07/25/2026,JPM,-0.4402,1482478.54,-417053.51,20286238.57,3829100.11
strategy_b,07/25/2026,JPM,0.5296,-8677952.56,-417053.51,20286238.57,3829100.11
strategy_b,07/25/2026,MSFT,-0.8666,920377.92,-417053.51,20286238.57,3829100.11
strategy_b,07/25/2026,JPM,0.7022,-3743677.47,-417053.51,20286238.57,3829100.11
strategy_b,07/25/2026,AMZN,-1.4568,-4043434.86,-417053.51,20286238.57,3829100.11
strategy_b,07/25/2026,AMZN,0.4764,4533527.97,-417053.51,20286238.57,3829100.11
strategy_b,07/25/2026,XOM,1.3192,441161.6,-417053.51,20286238.57,3829100.11
strategy_b,07/25/2026,MSFT,-0.1555,4255603.5,-417053.51,20286238.57,3829100.11
strategy_b,07/25/2026,GOOGL,-1.2991,1027268.38,-417053.51,20286238.57,3829100.11
strategy_b,07/25/2026,XOM,-0.5795,-6527338.36,-417053.51,20286238.57,3829100.11
strategy_b,07/25/2026,XOM,-0.8112,5101007.11,-417053.51,20286238.57,3829100.11
strategy_b,07/25/2026,TSLA,-0.0239,4839310.0,-417053.51,20286238.57,3829100.11
strategy_b,07/25/2026,GOOGL,-0.2343,1586613.98,-417053.51,20286238.57,3829100.11
strategy_b,07/25/2026,TSLA,-1.0175,1315734.73,-417053.51,20286238.57,3829100.11
strategy_b,07/25/2026,AAPL,0.2082,-1247932.53,-417053.51,20286238.57,3829100.11
strategy_b,07/25/2026,AMZN,0.1955,-3036192.05,-417053.51,20286238.57,3829100.11
strategy_b,07/25/2026,GOOGL,0.8896,-636575.66,-417053.51,20286238.57,3829100.11
strategy_b,07/25/2026,TSLA,-0.1125,-5682392.86,-417053.51,20286238.57,3829100.11
strategy_b,07/25/2026,AMZN,1.7199,2834702.81,-417053.51,20286238.57,3829100.11
strategy_b,07/25/2026,GOOGL,-1.0953,-1844818.7,-417053.51,20286238.57,3829100.11
strategy_b,07/25/2026,AAPL,0.8986,3043409.22,-417053.51,20286238.57,3829100.11
strategy_b,07/25/2026,GOOGL,-0.3132,-6869081.35,-417053.51,20286238.57,3829100.11
strategy_b,07/25/2026,XOM,-1.147,-4420988.75,-417053.51,20286238.57,3829100.11
strategy_b,07/25/2026,TSLA,-0.34,5212047.55,-417053.51,20286238.57,3829100.11
strategy_b,07/25/2026,AMZN,-0.8687,2399139.76,-417053.51,20286238.57,3829100.11
strategy_b,07/25/2026,JPM,-0.678,-4230963.04,-417053.51,20286238.57,3829100.11
strategy_b,07/25/2026,GOOGL,0.8541,-4925760.37,-417053.51,20286238.57,3829100.11
strategy_b,07/25/2026,AMZN,-0.754,3895282.76,-417053.51,20286238.57,3829100.11
strategy_b,07/25/2026,MSFT,-0.2332,-14136351.88,-417053.51,20286238.57,3829100.11
strategy_b,07/25/2026,NVDA,-0.6301,7008686.33,-417053.51,20286238.57,3829100.11
strategy_b,07/25/2026,JPM,-0.3032,5752181.53,-417053.51,20286238.57,3829100.11
strategy_b,07/25/2026,TSLA,1.5013,-5088812.95,-417053.51,20286238.57,3829100.11
strategy_b,07/25/2026,TSLA,-0.9951,-1666035.58,-417053.51,20286238.57,3829100.11
strategy_b,07/25/2026,XOM,0.6452,73629.19,-417053.51,20286238.57,3829100.11
strategy_b,07/25/2026,XOM,0.157,896439.37,-417053.51,20286238.57,3829100.11
strategy_b,07/25/2026,AAPL,-0.2169,-5797212.05,-417053.51,20286238.57,3829100.11
strategy_b,07/25/2026,AAPL,1.0117,-373954.05,-417053.51,20286238.57,3829100.11
strategy_b,07/25/2026,XOM,-0.1871,7833276.66,-417053.51,20286238.57,3829100.11
strategy_b,07/25/2026,JPM,-1.0364,-4328770.11,-417053.51,20286238.57,3829100.11
