strat,dt,ticker,score,target_pos,pnl,gross,net
strategy_a,2026-07-24,MSFT,0.3451,5457817.98,-390339.48,17423404.59,-4131516.44
strategy_a,2026-07-24,GOOGL,0.6431,-3303692.65,-390339.48,17423404.59,-4131516.44
strategy_a,2026-07-24,XOM,0.39,1281573.28,-390339.48,17423404.59,-4131516.44
strategy_a,2026-07-24,GOOGL,-0.6089,4227909.93,-390339.48,17423404.59,-4131516.44
strategy_a,2026-07-24,TSLA,-0.0827,8706150.63,-390339.48,17423404.59,-4131516.44
strategy_a,2026-07-24,GOOGL,-0.1665,-5675047.18,-390339.48,17423404.59,-4131516.44
strategy_a,2026-07-24,XOM,0.7967,-7984336.93,-390339.48,17423404.59,-4131516.44
strategy_a,2026-07-24,TSLA,-0.6434,-2285573.6,-390339.48,17423404.59,-4131516.44
strategy_a,2026-07-24,XOM,-0.0691,-9284947.14,-390339.48,17423404.59,-4131516.44
strategy_a,2026-07-24,AMZN,1.1983,6286980.07,-390339.48,17423404.59,-4131516.44
strategy_a,2026-07-24,GOOGL,0.9754,-486785.6,-390339.48,17423404.59,-4131516.44
strategy_a,2026-07-24,AMZN,-1.8818,52803.71,-390339.48,17423404.59,-4131516.44
strategy_a,2026-07-24,AAPL,0.6857,-9627538.61,-390339.48,17423404.59,-4131516.44
strategy_a,2026-07-24,GOOGL,-0.1128,-5408775.82,-390339.48,17423404.59,-4131516.44
strategy_a,2026-07-24,NVDA,2.8532,21146.99,-390339.48,17423404.59,-4131516.44
strategy_a,2026-07-24,NVDA,0.5298,-936746.91,-390339.48,17423404.59,-4131516.44
strategy_a,2026-07-24,XOM,0.3969,-1843013.58,-390339.48,17423404.59,-4131516.44
strategy_a,2026-07-24,XOM,-0.6351,-260873.36,-390339.48,17423404.59,-4131516.44
strategy_a,2026-07-24,NVDA,-0.3446,-10813979.25,-390339.48,17423404.59,-4131516.44
strategy_a,2026-07-24,MSFT,0.7694,8196856.2,-390339.48,17423404.59,-4131516.44
strategy_a,2026-07-24,JPM,0.1993,-5297441.99,-390339.48,17423404.59,-4131516.44
strategy_a,2026-07-24,JPM,0.0475,-3234977.15,-390339.48,17423404.59,-4131516.44
strategy_a,2026-07-24,AMZN,-1.7773,967654.15,-390339.48,17423404.59,-4131516.44
strategy_a,2026-07-24,GOOGL,1.5121,-8876567.95,-390339.48,17423404.59,-4131516.44
strategy_a,2026-07-24,MSFT,0.0938,-212094.28,-390339.48,17423404.59,-4131516.44
strategy_a,2026-07-24,AAPL,-1.0424,2146392.15,-390339.48,17423404.59,-4131516.44
strategy_a,2026-07-24,NVDA,0.9952,-11817751.65,-390339.48,17423404.59,-4131516.44
strategy_a,2026-07-24,TSLA,-0.9725,-1290637.48,-390339.48,17423404.59,-4131516.44
strategy_a,2026-07-24,AMZN,0.5619,-1116941.06,-390339.48,17423404.59,-4131516.44
strategy_a,2026-07-24,AMZN,0.3776,-5096470.91,-390339.48,17423404.59,-4131516.44
strategy_a,2026-07-24,AMZN,-0.6627,4408374.56,-390339.48,17423404.59,-4131516.44
strategy_a,2026-07-24,JPM,0.1956,-570227.81,-390339.48,17423404.59,-4131516.44
strategy_a,2026-07-24,MSFT,0.9707,7149375.11,-390339.48,17423404.59,-4131516.44
strategy_a,2026-07-24,MSFT,-0.0291,-969462.95,-390339.48,17423404.59,-4131516.44
strategy_a,2026-07-24,NVDA,-1.0332,-48952.1,-390339.48,17423404.59,-4131516.44
strategy_a,2026-07-24,NVDA,0.5958,-416518.37,-390339.48,17423404.59,-4131516.44
strategy_a,2026-07-24,MSFT,-0.1074,-3736627.96,-390339.48,17423404.59,-4131516.44
strategy_a,2026-07-24,TSLA,-2.2737,-9687774.37,-390339.48,17423404.59,-4131516.44
strategy_a,2026-07-24,JPM,-0.2503,4527362.48,-390339.48,17423404.59,-4131516.44
strategy_a,2026-07-24,JPM,-0.2526,-6336968.72,-390339.48,17423404.59,-4131516.44
