strat,dt,ticker,score,target_pos,pnl,gross,net
strategy_a,2026-07-25,JPM,1.8836,-2174014.56,-141440.07,19688810.09,-1528877.54
strategy_a,2026-07-25,NVDA,0.1438,-7505757.59,-141440.07,19688810.09,-1528877.54
strategy_a,2026-07-25,AMZN,2.3653,5990719.41,-141440.07,19688810.09,-1528877.54
strategy_a,2026-07-25,JPM,0.8622,-6462673.93,-141440.07,19688810.09,-1528877.54
strategy_a,2026-07-25,AAPL,-0.6594,-4312142.72,-141440.07,19688810.09,-1528877.54
strategy_a,2026-07-25,NVDA,0.2521,-1887357.1,-141440.07,19688810.09,-1528877.54
strategy_a,2026-07-25,TSLA,0.7491,9562463.98,-141440.07,19688810.09,-1528877.54
strategy_a,2026-07-25,XOM,-0.1996,3299054.56,-141440.07,19688810.09,-1528877.54
strategy_a,2026-07-25,TSLA,-0.419,-3850998.86,-141440.07,19688810.09,-1528877.54
strategy_a,2026-07-25,XOM,-0.1799,5725297.33,-141440.07,19688810.09,-1528877.54
strategy_a,2026-07-25,GOOGL,1.8086,-150937.52,-141440.07,19688810.09,-1528877.54
strategy_a,2026-07-25,GOOGL,-0.0072,427293.69,-141440.07,19688810.09,-1528877.54
strategy_a,2026-07-25,TSLA,0.696,487665.17,-141440.07,19688810.09,-1528877.54
strategy_a,2026-07-25,XOM,-1.2858,-8143750.69,-141440.07,19688810.09,-1528877.54
strategy_a,2026-07-25,AAPL,-0.8495,15078707.57,-141440.07,19688810.09,-1528877.54
strategy_a,2026-07-25,AMZN,-0.5286,1677071.47,-141440.07,19688810.09,-1528877.54
strategy_a,2026-07-25,AAPL,0.3143,-2909193.81,-141440.07,19688810.09,-1528877.54
strategy_a,2026-07-25,TSLA,-0.5086,-1254623.95,-141440.07,19688810.09,-1528877.54
strategy_a,2026-07-25,AAPL,1.0983,-3960943.94,-141440.07,19688810.09,-1528877.54
strategy_a,2026-07-25,NVDA,-0.9846,3028684.45,-141440.07,19688810.09,-1528877.54
strategy_a,2026-07-25,JPM,0.2405,2585737.2,-141440.07,19688810.09,-1528877.54
strategy_a,2026-07-25,GOOGL,0.6806,-3430129.73,-141440.07,19688810.09,-1528877.54
strategy_a,2026-07-25,AMZN,-1.3414,807510.38,-141440.07,19688810.09,-1528877.54
strategy_a,2026-07-25,XOM,-1.2503,5077318.24,-141440.07,19688810.09,-1528877.54
strategy_a,2026-07-25,MSFT,0.4569,3220951.93,-141440.07,19688810.09,-1528877.54
strategy_a,2026-07-25,NVDA,1.7513,-3859743.73,-141440.07,19688810.09,-1528877.54
strategy_a,2026-07-25,NVDA,0.6497,-701065.21,-141440.07,19688810.09,-1528877.54
strategy_a,2026-07-25,NVDA,0.2925,2551696.54,-141440.07,19688810.09,-1528877.54
strategy_a,2026-07-25,AMZN,0.8503,-5816355.11,-141440.07,19688810.09,-1528877.54
strategy_a,2026-07-25,AAPL,0.4842,-3591372.19,-141440.07,19688810.09,-1528877.54
strategy_a,2026-07-25,AMZN,-1.7326,-2008488.11,-141440.07,19688810.09,-1528877.54
strategy_a,2026-07-25,AAPL,-1.3001,7864605.37,-141440.07,19688810.09,-1528877.54
strategy_a,2026-07-25,TSLA,0.4183,4557865.73,-141440.07,19688810.09,-1528877.54
strategy_a,2026-07-25,JPM,0.4942,-1356058.07,-141440.07,19688810.09,-1528877.54
strategy_a,2026-07-25,AAPL,0.3446,-2314422.71,-141440.07,19688810.09,-1528877.54
strategy_a,2026-07-25,XOM,0.1311,5049049.57,-141440.07,19688810.09,-1528877.54
strategy_a,2026-07-25,GOOGL,-0.7856,-2253192.69,-141440.07,19688810.09,-1528877.54
strategy_a,2026-07-25,AAPL,0.2701,-3082181.33,-141440.07,19688810.09,-1528877.54
strategy_a,2026-07-25,TSLA,-0.4368,-1955027.96,-141440.07,19688810.09,-1528877.54
strategy_a,2026-07-25,JPM,-0.6676,8894440.32,-141440.07,19688810.09,-1528877.54
